Timestamp,From,To,Original,Translated
2026-02-17 19:20:22,Tamil,Korean,இல்லை இல்லை இல்லை இல்லை இல்லை.,아뇨 아뇨 아뇨 아뇨.
2026-02-17 19:20:49,Tamil,Russian,இல்லை இல்லை இல்லை இல்லை.,Нет нет нет нет.
2026-02-17 19:21:54,Tamil,Italian,இல்லை இல்லை இல்லை இல்லை இல்லை இல்லை.,No no no no no no no.
2026-02-17 19:22:11,Tamil,Bengali,நான் உன்னை காதலிக்கிறேன்.,আমি তোমাকে ভালোবাসি
2026-02-17 19:22:27,Tamil,Gujarati,நான் உன்னை காதலிக்கிறேன்.,હું તને પ્રેમ કરું છું
2026-02-17 19:22:46,Tamil,Russian,நான் உன்னை காதலிக்கிறேன்.,я тебя люблю
2026-02-17 19:23:08,Tamil,Chinese,நான் உன்னை காதலிக்கிறேன்.,我爱你
2026-02-17 19:23:28,Tamil,Korean,நான் உன்னை காதலிக்க கொக்கோ.,사랑해요 코코.
2026-02-17 19:24:20,Tamil,Japanese,நான் உன்னை காதலிக்கிறேன்.,愛してます
2026-02-17 19:24:32,Tamil,Spanish,நான் உன்னை காதலிக்கிறேன்.,te amo
2026-02-17 19:25:02,Japanese,Hindi,いただきます.,इसे पाकर मुझे आनंद आएगा.
2026-02-17 19:25:55,Hindi,Chinese,मेक ए लाडला!,做个亲爱的吧！
2026-02-17 19:26:16,Hindi,Chinese,मैं क्या लाडले मियां खूब खूब.,我是什么亲爱的绵，很好。
2026-02-17 19:26:32,Hindi,Chinese,म्याऊं गोप गोप गोप.,喵呜呜呜呜。
2026-02-17 19:27:07,Hindi,Korean,मेक ए लाडली म्याऊं को को.,자기야옹 울어보세요.
2026-02-17 19:27:19,Hindi,Korean,गोप गोप गोप.,"가, 가, 가."
2026-02-17 19:27:41,Hindi,Russian,गोप गोप गोप सो.,Гоп-гоп-гоп так.
2026-02-17 19:28:02,Hindi,Russian,हाउ आर यू थे मैसेज करो छो आप क्या कर रहे हो.,"Как вы? Напиши мне, что ты делаешь?"
2026-02-17 19:28:29,Hindi,Chinese,मुझे चाइनीस खाना पसंद है पर चीनी लोग नहीं पसंद.,我喜欢中国菜，但我不喜欢中国人。
2026-02-17 19:29:15,Hindi,Chinese,तेरी यादों में खोया रहता हूं.,我仍然迷失在你的记忆中。
2026-02-17 19:29:41,Hindi,Korean,तेरी यादों में खोया रहता हूं मुझको दस्ती है तन्हाई या.,나는 당신의 기억 속에 남아 외로움을 느낍니다.
2026-02-17 19:30:05,Hindi,Tamil,तेरी यादों में खोया रहता हूं.,உன் நினைவுகளில் நான் தொலைந்து போனேன்.
2026-02-17 19:30:36,Gujarati,Tamil,બેબી ને બોનવીટા પીવડાવો બેબી મૂડમાં નથી.,குழந்தையை கொடுங்கள் பொன்விதா பேபி மனநிலை சரியில்லை.
2026-02-17 19:31:03,Gujarati,Spanish,ચૂત.,Chut.
2026-02-17 19:31:25,Gujarati,Spanish,ચૂત.,Chut.
2026-02-17 19:31:41,Gujarati,German,સુતિયા.,Sutia.
2026-02-17 19:32:01,Gujarati,Chinese,ડોફાઓ.,嘲笑
2026-02-17 19:32:22,Gujarati,Korean,નાલાયક.,가치 없는.
2026-02-17 19:32:45,Gujarati,Korean,નાલાયક ગધેડા જેવા છોકરા.,쓸모없는 엉덩이 같은 소년.
2026-02-17 19:33:14,Gujarati,French,છોકરી.,la fille
2026-02-17 19:33:30,Gujarati,French,છોકરો છોકરી છોકરા.,garçon fille garçon
2026-02-17 19:33:52,Gujarati,French,છોકરો છોકરી પુરુષ સ્ત્રી ટ્રાન્સજેન્ડર.,Garçon Fille Homme Femme Transgenre.
2026-02-17 19:34:21,Gujarati,French,તમે શું કરો છો તમારું નામ શું છે તમે ક્યારે રન થશો.,que fais-tu quel est ton nom quand est-ce que tu cours
2026-02-17 19:34:58,Gujarati,Russian,તમે શું કરો છો તમારું નામ શું છે મારો કોલ રન થશે કે નહીં થાય.,"что ты делаешь как тебя зовут, мой звонок состоится или нет"
2026-02-18 10:19:02,Gujarati,Hindi,સીમલેસ.,निर्बाध.
2026-02-18 10:19:17,English,Hindi,Seamless.,निर्बाध.
2026-02-18 10:19:31,English,Gujarati,Seamless.,સીમલેસ.
2026-02-18 10:19:43,English,Gujarati,Seamless.,સીમલેસ.
2026-02-18 10:19:55,English,Hindi,Seamless.,निर्बाध.
2026-02-18 10:20:07,English,Hindi,Seamless project idea.,निर्बाध परियोजना विचार.
2026-02-18 10:20:29,English,Gujarati,Seamless translation experience.,સીમલેસ અનુવાદ અનુભવ.
2026-02-18 23:21:40,English,Hindi,Hello my name is Khushi.,हेलो मेरा नाम ख़ुशी है.
2026-02-18 23:56:02,Gujarati,Hindi,મારું નામ ખુશી મહેતા છે.,मेरा नाम ख़ुशी मेहता है.
2026-02-18 23:56:33,Gujarati,Hindi,તમે શું કરો છો.,आप क्या कर रहे हो
2026-02-20 10:55:39,English,Gujarati,Hello my name is Shweta madam student.,હેલો મારું નામ શ્વેતા મેડમ વિદ્યાર્થી છે.
2026-02-20 10:56:12,English,Gujarati,Hello my name is Khushi Mehta and I am from nadias!,નમસ્તે મારું નામ ખુશી મહેતા છે અને હું નાદિયાની છું!
2026-02-20 10:56:40,English,Gujarati,Hello my name is Khushi Mehta and I am from Nadiad!,નમસ્તે મારું નામ ખુશી મહેતા છે અને હું નડિયાદની છું!
2026-02-20 10:57:14,English,Gujarati,Hello my name is Khushi Mehta and I am an engineer student!,નમસ્તે મારું નામ ખુશી મહેતા છે અને હું એન્જિનિયરનો વિદ્યાર્થી છું!
2026-02-20 10:57:41,English,Gujarati,Jethalal Champaklal Gada Gada electronics.,જેઠાલાલ ચંપકલાલ ગડા ગડા ઈલેક્ટ્રોનિક્સ.
2026-02-20 10:58:36,English,Gujarati,Hello my name is Khushi Mehta and I am from mbit!,હેલો મારું નામ ખુશી મહેતા છે અને હું એમબીટથી છું!
2026-02-20 10:59:02,English,Gujarati,Hello Maru Naam Khushi Mehta ke gane!,હેલો મારુ નામ ખુશી મહેતા કે ગાને!
2026-02-20 11:00:02,English,Gujarati,My name is Khushi Mehta and I am from cvm University.,મારું નામ ખુશી મહેતા છે અને હું cvm યુનિવર્સિટીમાંથી છું.
2026-02-20 15:26:02,English,Hindi,Hello my name is Khushi Mehta!,"नमस्ते, मेरा नाम ख़ुशी मेहता है!"
2026-03-15 21:17:22,English,Hindi,Hello my name is Khushi Mehta I am from Nadiad.,"नमस्कार, मेरा नाम ख़ुशी मेहता है, मैं नडियाद से हूँ।"
2026-03-15 21:17:44,English,Punjabi,Hello my name is Khushi Mehta.,ਹੈਲੋ ਮੇਰਾ ਨਾਮ ਖੁਸ਼ੀ ਮਹਿਤਾ ਹੈ।
2026-03-15 21:20:15,English,Punjabi,What are you doing bro.,ਤੁਸੀਂ ਕੀ ਕਰ ਰਹੇ ਹੋ ਭਰਾ.
2026-03-15 21:22:26,English,Tamil,No no no.,இல்லை இல்லை இல்லை.
2026-03-17 20:26:22,English,Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-03-17 20:26:58,English,Hindi,What are you doing bro.,क्या कर रहे हो भाई?
2026-03-17 20:27:35,English,Tamil,Hello my name is Khushi Mehta what are you doing.,வணக்கம் என் பெயர் குஷி மேத்தா என்ன செய்கிறாய்.
2026-03-17 20:28:14,English,Hindi,I have too much stress about my future.,मुझे अपने भविष्य को लेकर बहुत अधिक तनाव है।
2026-03-17 20:28:30,English,Tamil,I am two tense about my future.,எனது எதிர்காலத்தைப் பற்றி நான் இரண்டு பதட்டமாக இருக்கிறேன்.
2026-03-17 20:28:55,English,Gujarati,I am to tense about my future.,હું મારા ભવિષ્ય વિશે તણાવમાં છું.
2026-03-17 20:29:34,English,German,I want to tense about my future.,Ich möchte mir Gedanken über meine Zukunft machen.
2026-03-17 20:29:46,English,German,I am to tense about my future.,Ich bin zu angespannt wegen meiner Zukunft.
2026-03-17 20:30:02,Gujarati,German,શું તમે જમી લીધું.,hast du gegessen
2026-03-17 20:33:27,Gujarati,German,મને કંઈ ગમતું નથી દિવસથી.,Mir gefällt seit dem Tag nichts mehr.
2026-03-17 20:33:38,Gujarati,German,મને કઈ જ ગમતું નથી થોડા દિવસથી.,Mir gefällt ein paar Tage lang nichts.
2026-03-17 20:34:06,Gujarati,Marathi,મને કોઈ ગમતું નથી થોડા દિવસથી.,मला काही दिवस कोणालाच आवडत नाही.
2026-03-17 20:34:17,Gujarati,Marathi,મને કંઈ ગમતું નથી થોડા દિવસથી.,मला काही दिवस काहीच आवडत नाही.
2026-03-17 20:34:36,Gujarati,Hindi,મને કંઈ ગમતું નથી થોડા દિવસથી.,कुछ दिनों तक मुझे कुछ भी पसंद नहीं आता.
2026-03-17 20:57:48,Auto-Detect (Auto-Detect),Hindi,Maru Naam Khushi Mehta Che.,मारु नाम खुशी मेहता चे।
2026-03-17 21:01:55,Auto(Hindi),Hindi,मारु नाम खुशी मेहता अच्छे.,मारु नाम खुशी मेहता अच्छे.
2026-03-17 21:02:05,Auto(Hindi),Hindi,व्हाट आर यू डूइंग.,व्हाट आर यू डूइंग.
2026-03-17 21:10:52,Auto(SQ),Hindi,Hello I am Khushi Mehta.,"नमस्ते, मैं ख़ुशी मेहता हूँ।"
2026-03-17 21:11:02,Auto(SW),Hindi,Maru Naam Khushi Mehta ji.,Maru Naam Khushi Mehta ji.
2026-03-17 21:11:12,Auto(English),Hindi,Mujhe Bhookh Lagi Hai.,Mujhe Bhookh Lagi Hai.
2026-03-21 17:27:07,Auto(English),Hindi,Hello my name is Khushi Mehta.,"नमस्ते, मेरा नाम ख़ुशी मेहता है।"
2026-03-21 17:27:19,Auto(English),Hindi,What are you doing.,आप क्या कर रहे हो।
2026-03-21 17:27:33,Auto(English),Gujarati,My name is Khushi Mehta what are you doing.,મારું નામ ખુશી મહેતા છે તમે શું કરો છો.
2026-03-21 17:27:49,Auto(SW),Marathi,Tamasha bhai.,तमाशा भाऊ.
2026-03-21 17:29:21,Auto(SW),Marathi,Tamasha.,तमाशा.
2026-03-21 17:29:32,Auto(English),Marathi,What are you doing bro.,काय करतोयस भाऊ.
2026-03-21 17:29:45,Auto(SW),Marathi,Maru Naam Khushi Mehta Che.,मारु नाम खुशी मेहता चे.
2026-03-21 17:30:08,Auto(SW),English,Maru Naam Khushi Mehta 6.,My name is Khushi Mehta 6.
2026-03-21 17:30:26,Auto(SW),English,Maru Naam Khushi Mehta 6.,My name is Khushi Mehta 6.
2026-03-29 02:10:28,English,Hindi,Hello bro I am Khushi.,नमस्ते भाई मैं ख़ुशी हूँ।
2026-03-29 02:11:13,Gujarati,Hindi,તમે કોણ છો.,आप कौन हैं
2026-03-29 02:11:23,Gujarati,Hindi,મેં ખુશી હું કોઈ શક.,मैं ख़ुशी मैं कोई शाका नहीं.
2026-03-29 02:11:43,Hindi,Gujarati,मैं खुशी हूं कोई शक.,હું ખુશ છું તેમાં કોઈ શંકા નથી.
2026-03-29 02:12:09,Hindi,Gujarati,मेरा नाम खुशी है और मैं बहुत अच्छी हूं.,મારું નામ ખુશી છે અને હું ખૂબ સરસ છું.
2026-03-29 02:12:25,Hindi,Gujarati,आप क्या कर रहे हो जी.,શું કરો છો સાહેબ?
2026-03-29 02:12:46,Marathi,Gujarati,मला जेवण पाहिजे आणि माझा नाम खुशी आहे.,મને ભોજન જોઈએ છે અને મારું નામ ખુશી છે.
2026-03-29 02:13:03,Hindi,Gujarati,मेरा नाम खुशी है और मैं नडियाद में रहती हूं और मुझे खाना खाना पसंद है,મારું નામ ખુશી છે અને હું નડિયાદમાં રહું છું અને મને ખાવાનું ગમે છે
2026-03-29 02:13:19,Hindi,Hindi,माझा नाम खुशियां है आणि मला जीवन परिचय,माझा नाम खुशियां है आणि मला जीवन परिचय
2026-03-29 02:13:36,Marathi,Hindi,माझा नाम खुशी आहे आणि मला जेवण पाहिजे,मेरा नाम ख़ुशी है और मुझे खाना चाहिए
2026-03-29 02:13:49,Gujarati,Hindi,હલો મારું નામ ખુશી મહેતા છે તમે શું કરો છો મને બહુ ભૂખ લાગી છે,हेलो मेरा नाम खुशी मेहता है आप क्या कर रहे हैं मुझे बहुत भूख लगी है
2026-03-29 02:14:11,Gujarati,Hindi,"MADHUBEN AND BHANUBHAI PATEL INSTITUTE OF TECHNOLOGY (MBIT) 
THE CVM UNIVERSITY 
 
ACADEMIC YEAR: 2025-26 (II) 
Bachelor of Technology – INFORMATION TECHOLOGY 
SEMESTER: 6TH 
Course: 202040601 (MINI PROJECT ) 
 
Fortnightly Mini Project Status Report 
 
Project Title:   
Group No.:   Report No.:   
Enrolment No - 1 :   Enrolment No - 2 :   Enrolment No - 3 :   
Enrolment No - 4 :   Enrolment No - 5 :   Enrolment No - 6 :   
Contents: 
 
1) PROJECT STATUS SUMMARY 
2) WORK PLANNED FOR LAST FORTNIGHT 
3) WORK COMPLETED FOR THIS FORTNIGHT 
4) WORK PLANNED FOR NEXT FORTNIGHT 
5) OPEN ISSUE (IF ANY) 
6) OPEN RISKS (IF ANY) 
Remarks: 
 
 
Signature of Guide:  
 
Guide Name:","मधुबेन और भानुभाई पटेल प्रौद्योगिकी संस्थान (एमबीटी) 
सीवीएम विश्वविद्यालय 
 
शैक्षणिक वर्ष: 2025-26 (II) 
बैचलर ऑफ टेक्नोलॉजी - सूचना प्रौद्योगिकी 
सेमेस्टर: छठा 
कोर्स: 202040601 (मिनी प्रोजेक्ट) 
 
पाक्षिक लघु परियोजना स्थिति रिपोर्ट 
 
परियोजना का शीर्षक:   
समूह संख्या: रिपोर्ट संख्या:   
नामांकन संख्या - 1 : नामांकन संख्या - 2 : नामांकन संख्या - 3 :   
नामांकन संख्या - 4 : नामांकन संख्या - 5 : नामांकन संख्या - 6 :   
सामग्री: 
 
1) परियोजना स्थिति सारांश 
2) पिछले पखवाड़े के लिए नियोजित कार्य 
3) इस पखवाड़े का कार्य पूरा हो गया 
4) अगले पखवाड़े के लिए कार्य की योजना बनाई गई 
5) खुला मुद्दा (यदि कोई हो) 
6) खुले जोखिम (यदि कोई हो) 
टिप्पणियाँ: 
 
 
गाइड के हस्ताक्षर:  
 
गाइड का नाम:"
2026-03-29 02:14:55,Gujarati,Punjabi,મારું નામ ખુશી છે અને હું નડિયાદથી છું.,ਮੇਰਾ ਨਾਮ ਖੁਸ਼ੀ ਹੈ ਅਤੇ ਮੈਂ ਨਦੀਆਦ ਤੋਂ ਹਾਂ।
2026-03-29 02:15:08,Hindi,Punjabi,आप क्या कर रहे हो.,ਤੁਸੀਂ ਕੀ ਕਰ ਰਹੇ ਹੋ.
2026-03-29 02:15:24,Auto(Hindi),Punjabi,आपका नाम क्या है.,ਤੁਹਾਡਾ ਨਾਮ ਕੀ ਹੈ.
2026-03-29 02:16:07,Auto(English),French,What are you doing guys.,Que faites-vous les gars.
